Using 8 GPUs for inference.
cat code_representations: torch.Size([573, 768])
cat code_representations: torch.Size([620, 768])
cat code_representations: torch.Size([673, 768])
cat code_representations: torch.Size([797, 768])
cat code_representations: torch.Size([822, 768])
cat code_representations: torch.Size([627, 768])
cat code_representations: torch.Size([1381, 768])
cat code_representations: torch.Size([809, 768])
cat code_representations: torch.Size([965, 768])
cat code_representations: torch.Size([995, 768])
cat code_representations: torch.Size([843, 768])
cat code_representations: torch.Size([552, 768])
cat code_representations: torch.Size([837, 768])
cat code_representations: torch.Size([905, 768])
cat code_representations: torch.Size([825, 768])
cat code_representations: torch.Size([816, 768])
cat code_representations: torch.Size([867, 768])
cat code_representations: torch.Size([837, 768])
cat code_representations: torch.Size([1334, 768])
cat code_representations: torch.Size([898, 768])
cat code_representations: torch.Size([1006, 768])
cat code_representations: torch.Size([880, 768])
cat code_representations: torch.Size([862, 768])
cat code_representations: torch.Size([885, 768])
cat code_representations: torch.Size([1185, 768])
cat code_representations: torch.Size([667, 768])
cat code_representations: torch.Size([691, 768])
cat code_representations: torch.Size([676, 768])
cat code_representations: torch.Size([779, 768])
cat code_representations: torch.Size([350, 768])
cat code_representations: torch.Size([470, 768])
cat code_representations: torch.Size([699, 768])
cat code_representations: torch.Size([306, 768])
cat code_representations: torch.Size([322, 768])
cat code_representations: torch.Size([330, 768])
cat code_representations: torch.Size([614, 768])
cat code_representations: torch.Size([815, 768])
cat code_representations: torch.Size([332, 768])
cat code_representations: torch.Size([310, 768])
cat code_representations: torch.Size([366, 768])
cat code_representations: torch.Size([390, 768])
cat code_representations: torch.Size([445, 768])
cat code_representations: torch.Size([517, 768])
cat code_representations: torch.Size([452, 768])
cat code_representations: torch.Size([460, 768])
Precision: 0.4262962962962963
Recall: 0.8
F1 Score: 0.5222222222222223
MRR: 0.5581481481481482
Top-K Accuracy: 0.8
